,Row_ID,Year,Era,Scenario,Region,Demographic_Group,Education_Level,Profession,AI_Tool_Category,Weekly_AI_Usage_Hours,AI_Dependency_Score,Human_Creativity_Score,Critical_Thinking_Ability,Problem_Solving_Skills,Emotional_Intelligence,Innovation_Rate,Learning_Speed,Human_Decision_Making_Involvement,Social_Interaction_Quality,Cognitive_Load_Index,Mental_Wellbeing_Score,AI_Tool_Proficiency,Adaptability_Score,Attention_Span_Minutes,Positive_Effects_of_AI,Negative_Effects_of_AI,Outcome_Label
0,1,2064,Symbiotic Intelligence Age,Pessimistic,East Asia,Young Adult (26-35),Undergraduate,Technology,AGI-Adjacent Tools,28.2,71.57,42.27,36.21,52.47,48.54,38.73,43.38,45.15,43.94,75.1,47.7,64.66,40.02,24.16,Cross-domain creativity boosts,Reduced independent thinking; Algorithmic bias reinforcement; Digital addiction patterns; Privacy erosion through behavioral data,Cognitive Decline Risk
1,2,2029,AI Mainstream Adoption,Mixed,Latin America,Senior (51-65),Undergraduate,Healthcare,,10.0,16.36,67.29,72.11,59.67,73.4,42.5,61.3,82.28,70.24,52.64,74.85,28.18,57.0,46.35,Democratized access to expertise; Broader knowledge access; Personalized learning pathways,Memory atrophy from AI offloading,Stagnant / Moderate
2,3,2047,Post-Singularity Transition,Neutral,Latin America,Youth (18-25),Secondary,Science & Research,Analytical AI,28.0,40.7,63.52,57.29,67.83,64.49,57.68,64.38,68.87,67.2,60.5,82.08,42.99,56.79,37.3,Faster skill acquisition,Privacy erosion through behavioral data,Stagnant / Moderate
3,4,2069,Symbiotic Intelligence Age,Neutral,East Asia,Senior (51-65),PhD/Research,Technology,Full AGI Integration,35.2,70.65,66.6,57.26,76.82,64.5,67.88,81.39,55.05,59.41,60.15,55.34,66.65,65.33,56.93,Reduced cognitive load on repetitive tasks,Decreased social bonding,Positive Growth
4,5,2048,Post-Singularity Transition,Optimistic,South Asia,Young Adult (26-35),Undergraduate,Entrepreneurship,Multi-modal AI,24.4,41.76,76.48,71.62,84.78,69.62,78.38,73.46,73.01,67.83,61.62,77.47,50.39,75.56,42.53,Increased productivity for deep work; Reduced cognitive load on repetitive tasks; Democratized access to expertise; Enhanced emotional regulation through AI coaching,,Positive Growth
5,6,2034,AI-Augmented Society,Optimistic,Latin America,Elder (65+),PhD/Research,Social Sciences,,15.0,24.12,62.2,58.85,69.59,65.94,71.54,63.86,87.91,62.01,56.5,65.93,40.98,55.48,53.87,Greater scientific discovery rates; Improved accessibility for disabled individuals,,Stagnant / Moderate
6,7,2037,Deep AI Dependency Era,Optimistic,Europe,Elder (65+),Secondary,Finance,Basic Assistants,15.7,32.13,62.95,58.73,64.76,62.19,57.46,60.43,84.33,66.36,59.67,67.43,44.87,66.48,49.59,Broader knowledge access; Faster skill acquisition,,Stagnant / Moderate
7,8,2066,Symbiotic Intelligence Age,Mixed,South Asia,Young Adult (26-35),PhD/Research,Law,Multi-modal AI,37.3,69.78,46.72,61.09,71.62,51.9,50.75,71.31,53.95,74.44,67.9,57.71,59.15,70.47,58.72,Faster skill acquisition; Augmented artistic expression; Improved mental health support tools,Memory atrophy from AI offloading,Stagnant / Moderate
8,9,2032,AI-Augmented Society,Neutral,Africa,Adult (36-50),Postgraduate,Finance,,15.2,20.51,65.11,67.2,71.05,63.31,61.42,58.3,90.54,68.97,64.29,45.92,37.87,55.06,50.79,Faster skill acquisition,Algorithmic bias reinforcement; Job displacement anxiety,Positive Growth
9,10,2051,Cognitive Co-Evolution,Neutral,South Asia,Senior (51-65),Primary,Science & Research,Multi-modal AI,21.1,48.24,66.58,55.41,66.2,62.13,64.23,73.85,72.85,64.7,69.3,66.59,57.5,64.82,55.76,Broader knowledge access,Algorithmic bias reinforcement; Declining handwriting and manual skills; Reduced physical-world problem solving,Stagnant / Moderate
